Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Denis Odoi,31,29,2594.0,0,1,0,0,4,0,0.7,0.7,0.8,0,28
Diego Rico,33,26,2402.0,0,2,0,0,7,0,0.5,0.5,3.2,0,29
Diogo Dalot,20,13,1079.0,0,2,0,0,3,0,0.5,0.5,1.8,0,24
Djibril Sidibé,19,16,1489.0,0,4,0,0,2,0,0.3,0.3,2.0,0,35
Eliaquim Mangala,11,6,622.0,0,0,0,0,0,0,0.30000000000000004,0.30000000000000004,0.3,0,11
Emerson Palmieri,29,23,1963.0,0,1,0,0,3,0,1.3,1.3,2.0999999999999996,0,28
Emil Krafth,11,6,563.0,0,0,0,0,0,0,0.2,0.2,0.0,0,11
Enda Stevens,27,27,2385.0,2,2,0,0,5,0,0.8,0.8,3.5,0,47
Eric Bailly,26,20,1727.0,1,0,0,0,2,1,1.2,1.2,0.2,0,27
Eric García,6,2,269.0,0,0,0,0,0,0,0.0,0.0,0.0,0,6
Erik Durm,28,21,2051.0,0,1,0,0,0,0,0.3,0.3,0.9,0,33
Erik Pieters,46,44,3952.0,0,4,0,0,6,0,0.30000000000000004,0.30000000000000004,2.3,0,54
Ethan Ampadu,1,0,11.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Ezequiel Schelotto,27,18,1608.0,0,0,0,0,4,0,1.0,1.0,0.7,0,19
Ezri Konsa,15,14,1199.0,0,2,0,0,1,0,0.6,0.6,0.1,0,23
Fabian Delph,33,29,2465.0,1,3,0,0,3,1,0.30000000000000004,0.30000000000000004,1.4000000000000001,0,47
Fabian Schär,42,37,3401.0,6,1,0,0,16,0,3.0,3.0,0.7,0,75
Fabián Balbuena,36,35,3094.0,2,0,0,0,4,0,3.8,3.8,0.1,0,48
Federico Fernández,70,65,5786.0,3,3,0,0,11,0,2.4,2.4,1.4000000000000001,0,93
Fernandinho,22,21,1907.0,0,0,0,0,7,1,0.8,0.8,0.3,0,3
Fikayo Tomori,14,14,1229.0,1,0,0,0,3,0,0.6,0.6,0.2,0,18
Florent Hadergjonaj,47,38,3514.0,0,1,0,0,4,0,0.7,0.7,3.2,0,44
Florian Lejeune,42,40,3599.0,2,2,0,0,3,0,1.6,1.6,1.6,0,66
Frederic Guilbert,22,20,1810.0,0,2,0,0,7,0,0.3,0.3,1.4,0,18
Gareth McAuley,9,5,458.0,0,0,0,0,0,0,0.0,0.0,0.0,0,9
Gary Cahill,47,42,3728.0,0,1,0,0,2,1,1.3,1.3,0.3,0,43
Gaëtan Bong,47,44,4041.0,0,0,0,0,2,0,0.4,0.4,1.2,0,43
George Baldock,27,27,2430.0,2,3,0,0,6,0,0.5,0.5,1.8,0,50
Glen Johnson,9,7,547.0,0,0,0,0,3,0,0.2,0.2,0.4,0,3
Grant Hanley,13,12,1082.0,0,0,0,0,3,0,0.6,0.6,0.0,0,7
Greg Cunningham,7,7,630.0,0,0,0,0,3,0,0.0,0.0,0.1,0,1
Harry Maguire,96,96,8448.0,6,5,0,0,15,1,6.0,6.0,3.0,0,146
Håvard Nordtveit,5,4,361.0,0,1,0,0,0,0,0.0,0.0,0.2,0,10
Héctor Bellerín,61,59,5207.0,3,8,0,0,10,0,3.4000000000000004,3.4000000000000004,5.5,0,111
Ibrahim Amadou,11,8,756.0,0,0,0,0,1,0,1.0,1.0,0.1,0,9
Issa Diop,54,53,4746.0,4,0,0,0,12,0,2.5,2.5,0.4,0,70
Jack O'Connell,27,27,2430.0,0,1,0,0,3,0,1.2,1.2,2.1,0,26
Jack Simpson,10,6,641.0,0,0,0,0,0,0,0.1,0.1,0.1,0,10
Jack Stacey,10,10,888.0,0,1,0,0,2,0,0.3,0.3,1.1,0,11
Jack Stephens,65,59,5324.0,4,3,0,0,11,1,3.0999999999999996,3.0999999999999996,1.0,0,93
Jamaal Lascelles,82,81,7125.0,4,1,0,0,11,0,2.0999999999999996,2.0999999999999996,0.5,0,105
Jamal Lewis,17,14,1318.0,0,0,0,0,2,0,0.2,0.2,0.4,0,13
James Collins,13,12,1050.0,1,0,0,0,3,0,0.4,0.4,0.5,0,17
James Justin,3,1,110.0,0,1,0,0,0,0,0.0,0.0,0.3,0,8
James Tarkowski,93,93,8307.0,4,2,0,0,19,0,6.0,6.0,2.0,0,105
James Tomkins,75,74,6534.0,5,2,0,0,18,0,5.1,5.1,1.3,0,99
Jan Bednarek,55,54,4824.0,2,1,0,0,11,0,1.6,1.6,0.5,0,58
Jan Vertonghen,76,75,6570.0,2,1,0,0,10,1,3.0,3.0,2.4,0,76
Jannik Vestergaard,36,36,3144.0,1,0,0,0,4,0,1.4,1.4,0.7,0,38
Japhet Tanganga,4,4,360.0,0,0,0,0,1,0,0.0,0.0,0.0,0,2
Javier Manquillo,50,41,3655.0,0,5,0,0,6,0,0.2,0.2,1.5,0,63
Jazz Richards,4,0,129.0,0,0,0,0,0,0,0.0,0.0,0.0,0,4
Jaïro Riedewald,9,6,564.0,0,0,0,0,0,0,0.0,0.0,0.4,0,9
Jeffrey Schlupp,24,21,1745.0,0,1,0,0,3,0,1.5,1.5,0.8,0,23
Jeremy Ngakia,2,2,180.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Jermain Defoe,4,0,21.0,0,0,0,0,0,0,0.4,0.4,0.0,0,4
Jesús Gámez,2,1,98.0,0,0,0,0,0,0,0.0,0.0,0.1,0,2
