Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA
Damien Delaney,2.0,1.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Burn,23.0,23.0,1969.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,1.0
Daniel Amartey,8.5,6.5,563.5,0.0,0.0,0.0,0.0,1.5,1.0,0.2,0.2,0.1
Danilo,17.0,11.0,1077.5,2.0,1.0,0.0,0.0,1.5,0.0,0.6,0.6,0.3
Danny Rose,12.8,10.2,916.0,0.0,1.0,0.0,0.0,3.5,0.0,0.4,0.4,0.9
Danny Simpson,17.0,15.0,1298.5,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2
Daryl Janmaat,16.3,15.0,1316.7,1.0,1.0,0.0,0.0,2.3,0.0,0.7,0.7,0.7
David Luiz,23.3,23.0,2058.0,2.0,1.0,0.0,0.0,3.7,0.7,1.3,1.3,1.2
Davide Zappacosta,13.0,6.5,611.5,0.5,0.5,0.0,0.0,0.0,0.0,0.8,0.8,0.8
Davinson Sánchez,24.7,23.3,2062.3,0.3,0.3,0.0,0.0,2.3,0.3,0.9,0.9,0.0
DeAndre Yedlin,25.0,22.3,2030.3,0.7,1.3,0.0,0.0,4.7,0.3,0.6,0.6,1.6
Declan Rice,26.0,15.0,1430.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0
Dejan Lovren,16.7,14.3,1260.7,1.0,0.7,0.0,0.0,2.0,0.0,0.8,0.8,0.8
Demeaco Duhaney,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denis Odoi,31.0,29.0,2594.0,0.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.8
Diego Rico,16.5,13.0,1201.0,0.0,1.0,0.0,0.0,3.5,0.0,0.2,0.2,1.6
Diogo Dalot,10.0,6.5,539.5,0.0,1.0,0.0,0.0,1.5,0.0,0.2,0.2,0.9
Djibril Sidibé,19.0,16.0,1489.0,0.0,4.0,0.0,0.0,2.0,0.0,0.3,0.3,2.0
Eliaquim Mangala,5.5,3.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Emerson Palmieri,9.7,7.7,654.3,0.0,0.3,0.0,0.0,1.0,0.0,0.4,0.4,0.7
Emil Krafth,11.0,6.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0
Enda Stevens,27.0,27.0,2385.0,2.0,2.0,0.0,0.0,5.0,0.0,0.8,0.8,3.5
Eric Bailly,8.7,6.7,575.7,0.3,0.0,0.0,0.0,0.7,0.3,0.4,0.4,0.1
Eric García,6.0,2.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Durm,28.0,21.0,2051.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9
