Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Mame Biram Diouf,FW,Stoke City,35,30,2596,7,2,0,0,6,0,0.24,0.07,0.31,0.24,0.31,7.3,7.3,1.0,0.25,0.04,0.29,0.25,0.29
Wilfried Bony,FW,Swansea City,15,8,707,2,0,0,0,2,0,0.25,0.0,0.25,0.25,0.25,1.6,1.6,0.2,0.21,0.02,0.23,0.21,0.23
Oliver Burke,FW,West Brom,15,2,367,0,2,0,0,0,0,0.0,0.49,0.49,0.0,0.49,0.5,0.5,0.3,0.12,0.09,0.21,0.12,0.21
Dominic Calvert-Lewin,FW,Everton,32,18,1882,4,6,0,0,4,0,0.19,0.29,0.48,0.19,0.48,4.7,4.7,1.7,0.23,0.08,0.31,0.23,0.31
Tyrese Campbell,FW,Stoke City,4,0,79,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.19,0.0,0.19,0.19,0.19
André Carrillo,FW,Watford,28,16,1540,1,2,0,0,2,0,0.06,0.12,0.18,0.06,0.18,2.3,2.3,2.3,0.13,0.14,0.27,0.13,0.27
Guido Carrillo,FW,Southampton,7,5,450,0,1,0,0,0,0,0.0,0.2,0.2,0.0,0.2,0.6,0.6,0.8,0.12,0.16,0.28,0.12,0.28
Andy Carroll,FW,West Ham,16,7,751,3,0,0,0,6,2,0.36,0.0,0.36,0.36,0.36,1.3,1.3,0.2,0.16,0.03,0.19,0.16,0.19
Nacer Chadli,FW,West Brom,5,2,260,1,0,0,0,1,0,0.35,0.0,0.35,0.35,0.35,0.2,0.2,0.1,0.09,0.04,0.13,0.09,0.13
Lee Chung-yong,FW,Crystal Palace,7,1,135,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.07,0.07,0.0,0.07
Peter Crouch,FW,Stoke City,31,14,1567,5,2,0,0,4,0,0.29,0.11,0.4,0.29,0.4,4.1,4.1,2.8,0.24,0.16,0.4,0.24,0.4
Josh Cullen,FW,West Ham,2,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy Deeney,FW,Watford,29,20,1844,5,2,3,5,1,1,0.24,0.1,0.34,0.1,0.2,7.9,3.9,1.8,0.38,0.09,0.47,0.19,0.28
Jermain Defoe,FW,Bournemouth,24,11,1088,4,1,0,0,1,0,0.33,0.08,0.41,0.33,0.41,4.9,4.9,1.1,0.41,0.09,0.49,0.41,0.49
Laurent Depoitre,FW,Huddersfield,33,18,1820,6,1,0,0,1,0,0.3,0.05,0.35,0.3,0.35,3.7,3.7,0.3,0.18,0.02,0.2,0.18,0.2
Gerard Deulofeu,FW,Watford,7,5,435,1,0,0,0,0,0,0.21,0.0,0.21,0.21,0.21,0.6,0.6,0.6,0.13,0.12,0.25,0.13,0.25
Brahim Díaz,FW,Manchester City,5,0,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.93,0.0,0.93,0.93,0.93
Roberto Firmino,FW,Liverpool,37,32,2763,15,7,1,1,1,0,0.49,0.23,0.72,0.46,0.68,11.6,10.9,5.8,0.38,0.19,0.56,0.35,0.54
Manolo Gabbiadini,FW,Southampton,28,11,1081,5,0,1,1,2,0,0.42,0.0,0.42,0.33,0.33,2.3,1.6,1.0,0.2,0.08,0.28,0.13,0.21
Dwight Gayle,FW,Newcastle Utd,35,23,1958,6,3,0,0,3,0,0.28,0.14,0.41,0.28,0.41,8.8,8.8,2.4,0.4,0.11,0.52,0.4,0.52
Olivier Giroud,FW,Chelsea,13,6,613,3,1,0,0,0,0,0.44,0.15,0.59,0.44,0.59,4.1,4.1,1.3,0.61,0.19,0.79,0.61,0.79
Olivier Giroud,FW,Arsenal,16,1,388,4,1,0,0,0,0,0.93,0.23,1.16,0.93,1.16,2.9,2.9,0.9,0.69,0.22,0.91,0.69,0.91
Andre Gray,FW,Watford,31,16,1498,5,2,0,0,1,0,0.3,0.12,0.42,0.3,0.42,5.8,5.8,1.6,0.35,0.1,0.45,0.35,0.45
Pascal Groß,FW,Brighton,38,35,2928,7,8,1,1,2,0,0.22,0.25,0.46,0.18,0.43,3.2,2.4,6.2,0.1,0.19,0.29,0.07,0.26
Massadio Haïdara,FW,Newcastle Utd,1,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eden Hazard,FW,Chelsea,34,28,2422,12,4,2,2,2,0,0.45,0.15,0.59,0.37,0.52,7.6,6.1,7.0,0.28,0.26,0.54,0.22,0.48
Tomer Hemed,FW,Brighton,16,9,849,2,2,0,0,0,0,0.21,0.21,0.42,0.21,0.42,2.2,2.2,0.2,0.23,0.02,0.26,0.23,0.26
Javier Hernández,FW,West Ham,28,16,1548,8,0,0,0,3,0,0.47,0.0,0.47,0.47,0.47,4.6,4.6,1.9,0.27,0.11,0.38,0.27,0.38
Son Heung-min,FW,Tottenham,37,27,2317,12,6,0,0,0,0,0.47,0.23,0.7,0.47,0.7,10.0,10.0,6.0,0.39,0.23,0.62,0.39,0.62
Jordan Hugill,FW,West Ham,3,0,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zlatan Ibrahimović,FW,Manchester Utd,5,1,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.22,0.12,0.34,0.22,0.34
Kelechi Iheanacho,FW,Leicester City,21,7,830,3,3,0,0,2,0,0.33,0.33,0.65,0.33,0.65,3.6,3.6,1.9,0.39,0.21,0.6,0.39,0.6
Danny Ings,FW,Liverpool,8,3,267,1,0,0,0,0,0,0.34,0.0,0.34,0.34,0.34,1.7,1.7,0.2,0.57,0.07,0.64,0.57,0.64
Alex Iwobi,FW,Arsenal,26,22,1830,3,5,0,0,1,0,0.15,0.25,0.39,0.15,0.39,3.0,3.0,3.4,0.15,0.17,0.31,0.15,0.31
Vincent Janssen,FW,Tottenham,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Jesé,FW,Stoke City,13,8,614,1,1,0,0,0,0,0.15,0.15,0.29,0.15,0.29,0.8,0.8,0.8,0.12,0.12,0.24,0.12,0.24
Gabriel Jesus,FW,Manchester City,29,19,1668,13,3,0,2,6,0,0.7,0.16,0.86,0.7,0.86,13.5,12.0,2.0,0.73,0.11,0.84,0.65,0.75
Joselu,FW,Newcastle Utd,30,19,1712,4,1,0,1,2,0,0.21,0.05,0.26,0.21,0.26,6.1,5.4,0.5,0.32,0.02,0.35,0.28,0.31
Elias Kachunga,FW,Huddersfield,19,17,1329,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,1.7,1.7,0.5,0.12,0.04,0.15,0.12,0.15
Harry Kane,FW,Tottenham,37,35,3076,30,2,2,3,5,0,0.88,0.06,0.94,0.82,0.88,26.3,24.0,2.9,0.77,0.08,0.85,0.7,0.79
Joshua King,FW,Bournemouth,33,27,2453,8,3,2,2,3,0,0.29,0.11,0.4,0.22,0.33,7.9,6.4,4.2,0.29,0.16,0.44,0.23,0.39
Rajiv van La Parra,FW,Huddersfield,33,26,2137,3,0,1,1,3,1,0.13,0.0,0.13,0.08,0.08,3.2,2.4,1.4,0.13,0.06,0.19,0.1,0.16
Alexandre Lacazette,FW,Arsenal,32,26,2202,14,4,2,2,1,0,0.57,0.16,0.74,0.49,0.65,12.0,10.5,3.4,0.49,0.14,0.63,0.43,0.57
Freddie Ladapo,FW,Crystal Palace,1,0,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Érik Lamela,FW,Tottenham,25,7,843,2,2,0,0,4,0,0.21,0.21,0.43,0.21,0.43,3.1,3.1,1.9,0.33,0.21,0.54,0.33,0.54
