Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Isaac Hayden,MF,Newcastle Utd,22,21,1799.0,1,1,0,0,4,1,0.05,0.05,0.1,0.05,0.1,0.8,0.8,1.3,0.04,0.07,0.11,0.04,0.11
Jordan Henderson,MF,Liverpool,25,22,1891.0,3,5,0,0,1,0,0.14,0.24,0.38,0.14,0.38,1.1,1.1,2.8,0.05,0.14,0.19,0.05,0.19
Jeff Hendrick,MF,Burnley,22,20,1756.0,2,2,0,0,7,0,0.1,0.1,0.21,0.1,0.21,1.6,1.6,0.7,0.08,0.04,0.12,0.08,0.12
Nathan Holland,MF,West Ham,2,0,31.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11
Conor Hourihane,MF,Aston Villa,17,10,881.0,3,2,0,0,3,0,0.31,0.2,0.51,0.31,0.51,1.0,1.0,2.5,0.1,0.26,0.35,0.1,0.35
Will Hughes,MF,Watford,19,16,1342.0,1,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,2.2,2.2,0.8,0.15,0.05,0.2,0.15,0.2
Pierre Højbjerg,MF,Southampton,26,25,2267.0,0,1,0,0,5,0,0.0,0.04,0.04,0.0,0.04,2.0,2.0,1.5,0.08,0.06,0.14,0.08,0.14
Alex Iwobi,MF,Everton,18,13,1170.0,1,0,0,0,0,0,0.08,0.0,0.08,0.08,0.08,2.1,2.1,2.0,0.16,0.15,0.31,0.16,0.31
Matty James,MF,Leicester City,1,0,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtis Jones,MF,Liverpool,2,0,19.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23
Jorginho,MF,Chelsea,25,22,1951.0,4,2,3,3,9,0,0.18,0.09,0.28,0.05,0.14,3.5,1.2,2.2,0.16,0.1,0.26,0.06,0.16
N'Golo Kanté,MF,Chelsea,18,16,1385.0,3,0,0,0,3,0,0.19,0.0,0.19,0.19,0.19,1.5,1.5,2.0,0.1,0.13,0.23,0.1,0.23
Naby Keïta,MF,Liverpool,9,4,368.0,1,1,0,0,1,0,0.24,0.24,0.49,0.24,0.49,1.5,1.5,1.2,0.36,0.29,0.65,0.36,0.65
Cheikhou Kouyaté,MF,Crystal Palace,25,21,1813.0,1,1,0,0,1,0,0.05,0.05,0.1,0.05,0.1,1.5,1.5,0.9,0.08,0.05,0.12,0.08,0.12
Mateo Kovačić,MF,Chelsea,24,17,1593.0,1,3,0,0,7,0,0.06,0.17,0.23,0.06,0.23,1.1,1.1,1.9,0.06,0.11,0.17,0.06,0.17
Adam Lallana,MF,Liverpool,13,3,338.0,1,1,0,0,1,0,0.27,0.27,0.53,0.27,0.53,1.0,1.0,0.4,0.27,0.09,0.36,0.27,0.36
Érik Lamela,MF,Tottenham,16,9,858.0,2,1,0,0,2,0,0.21,0.1,0.31,0.21,0.31,2.0,2.0,1.5,0.21,0.15,0.37,0.21,0.37
Henri Lansbury,MF,Aston Villa,9,2,189.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08
Manuel Lanzini,MF,West Ham,19,12,1188.0,0,2,0,0,0,0,0.0,0.15,0.15,0.0,0.15,1.7,1.7,2.3,0.13,0.17,0.3,0.13,0.3
Moritz Leitner,MF,Norwich City,9,7,685.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.03,0.04,0.07,0.03,0.07
Aaron Lennon,MF,Burnley,15,4,484.0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.02,0.0,0.02
Jefferson Lerma,MF,Bournemouth,22,20,1775.0,0,1,0,0,11,1,0.0,0.05,0.05,0.0,0.05,0.6,0.6,0.8,0.03,0.04,0.07,0.03,0.07
Jesse Lingard,MF,Manchester Utd,20,9,891.0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.8,0.19,0.09,0.28,0.19,0.28
Giovani Lo Celso,MF,Tottenham,17,6,734.0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,0.09,0.09,0.19,0.09,0.19
Jürgen Locadia,MF,Brighton,2,1,86.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.4,0.4,0.4
Kevin Long,MF,Burnley,1,0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Longstaff,MF,Newcastle Utd,7,6,545.0,2,0,0,0,1,0,0.33,0.0,0.33,0.33,0.33,0.3,0.3,0.2,0.06,0.03,0.09,0.06,0.09
Sean Longstaff,MF,Newcastle Utd,20,13,1287.0,0,1,0,0,2,1,0.0,0.07,0.07,0.0,0.07,0.7,0.7,0.9,0.05,0.06,0.12,0.05,0.12
Douglas Luiz,MF,Aston Villa,25,17,1624.0,3,2,0,0,4,0,0.17,0.11,0.28,0.17,0.28,2.1,2.1,0.8,0.12,0.05,0.16,0.12,0.16
John Lundstram,MF,Sheffield Utd,26,22,1979.0,4,2,0,0,4,0,0.18,0.09,0.27,0.18,0.27,4.0,4.0,2.2,0.18,0.1,0.28,0.18,0.28
James Maddison,MF,Leicester City,26,25,2224.0,6,3,0,0,4,0,0.24,0.12,0.36,0.24,0.36,4.3,4.3,6.3,0.18,0.25,0.43,0.18,0.43
Juan Mata,MF,Manchester Utd,16,8,715.0,0,2,0,0,1,0,0.0,0.25,0.25,0.0,0.25,1.2,1.2,1.8,0.15,0.23,0.38,0.15,0.38
Nemanja Matić,MF,Manchester Utd,10,9,781.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.01,0.09,0.1,0.01,0.1
James McArthur,MF,Crystal Palace,26,26,2273.0,0,2,0,0,5,0,0.0,0.08,0.08,0.0,0.08,2.2,2.2,1.8,0.09,0.07,0.16,0.09,0.16
James McCarthy,MF,Crystal Palace,22,10,1037.0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.03,0.03,0.06,0.03,0.06
John McGinn,MF,Aston Villa,18,18,1538.0,3,2,0,0,2,0,0.18,0.12,0.29,0.18,0.29,2.7,2.7,1.9,0.16,0.11,0.27,0.16,0.27
